source,target,position_x,position_y,capacity,travel_speed,segment_length
109733,102061,6.579917999999998,48.033533,9000000.0,100.0,61.203
109733,109657,6.579917999999998,48.033533,9000000.0,100.0,81.37
109733,102038,6.579917999999998,48.033533,9000000.0,100.0,74.53099999999999
260482,103035,7.491392208,43.79655336,9000000.0,100.0,121.17099999999999
102978,103010,5.126967,43.628425,9000000.0,100.0,12.613
102978,102804,5.126967,43.628425,9000000.0,100.0,67.215
102978,102800,5.126967,43.628425,9000000.0,100.0,71.134
103010,102978,5.233057,43.552022,9000000.0,100.0,12.613
103010,102995,5.233057,43.552022,9000000.0,100.0,17.160999999999998
103010,102974,5.233057,43.552022,9000000.0,100.0,18.974
102974,103010,5.299286,43.403166,9000000.0,100.0,18.974
102974,102968,5.299286,43.403166,9000000.0,100.0,4.606
102974,122445,5.299286,43.403166,9000000.0,100.0,14.619
102974,102984,5.299286,43.403166,9000000.0,100.0,24.255
102968,102974,5.352537,43.399063,9000000.0,100.0,4.606
102968,103012,5.352537,43.399063,9000000.0,100.0,9.335
102968,102995,5.352537,43.399063,9000000.0,100.0,16.044
103006,103014,5.620993,43.353258,9000000.0,100.0,2.591
103006,102999,5.620993,43.353258,9000000.0,100.0,4.584
103006,102957,5.620993,43.353258,9000000.0,100.0,16.055
102999,103006,5.590758999999999,43.318826,9000000.0,100.0,4.584
102999,102946,5.590758999999999,43.318826,9000000.0,100.0,4.449
102999,102952,5.590758999999999,43.318826,9000000.0,100.0,4.372999999999999
102505,102163,1.22579,45.834356,9000000.0,100.0,190.41400000000002
109472,109449,-0.42219,49.190621,9000000.0,100.0,2.967
109472,109452,-0.42219,49.190621,9000000.0,100.0,10.587
109472,109467,-0.42219,49.190621,9000000.0,100.0,63.07600000000001
100569,202046,7.403946107999999,47.780122,9000000.0,100.0,10.175999999999998
100569,107097,7.403946107999999,47.780122,9000000.0,100.0,24.506
100569,109760,7.403946107999999,47.780122,9000000.0,100.0,91.938
100569,102038,7.403946107999999,47.780122,9000000.0,100.0,10.543
202046,100569,7.5301,47.776,9000000.0,100.0,10.175999999999998
102664,102663,6.35176,45.649822,9000000.0,100.0,14.964000000000002
102707,122654,6.328788108,46.120935,9000000.0,100.0,22.206
102707,122495,6.328788108,46.120935,9000000.0,100.0,76.422
102707,102692,6.328788108,46.120935,9000000.0,100.0,68.357
102527,102514,5.661795,46.284772,9000000.0,100.0,19.385
110124,102514,5.326721,46.067558,9000000.0,100.0,19.479
110124,102526,5.326721,46.067558,9000000.0,100.0,24.278
110124,102509,5.326721,46.067558,9000000.0,100.0,39.525999999999996
102188,101910,0.336068,46.625248,9000000.0,100.0,86.251
102188,102499,0.336068,46.625248,9000000.0,100.0,113.16900000000001
102188,102191,0.336068,46.625248,9000000.0,100.0,61.098
102188,102089,0.336068,46.625248,9000000.0,100.0,119.16300000000001
101910,102188,0.693509677,47.32897,9000000.0,100.0,86.251
101910,109406,0.693509677,47.32897,9000000.0,100.0,4.531000000000001
101910,109864,0.693509677,47.32897,9000000.0,100.0,101.727
110133,102760,3.101461,45.976103,9000000.0,100.0,20.674999999999997
110133,110132,3.101461,45.976103,9000000.0,100.0,14.939
110133,180316,3.101461,45.976103,9000000.0,100.0,156.44400000000002
100459,180316,1.492213,45.18692,9000000.0,100.0,16.301000000000002
100459,102394,1.492213,45.18692,9000000.0,100.0,169.488
100459,102257,1.492213,45.18692,9000000.0,100.0,189.414
102220,102221,-0.846943,44.621488,9000000.0,100.0,8.957
102220,102239,-0.846943,44.621488,9000000.0,100.0,26.147
102220,102285,-0.846943,44.621488,9000000.0,100.0,147.952
102221,102220,-0.956788,44.626753,9000000.0,100.0,8.957
104351,102285,-1.635039,43.401262,9000000.0,100.0,18.407
104855,260316,2.049891,43.911106,9000000.0,100.0,28.725
260316,104855,1.7584082719999998,43.79365859,9000000.0,100.0,28.725
260316,102407,1.7584082719999998,43.79365859,9000000.0,100.0,17.389
260316,102388,1.7584082719999998,43.79365859,9000000.0,100.0,32.193
102407,260316,1.377213,43.520822,9000000.0,100.0,17.389
102407,102397,1.377213,43.520822,9000000.0,100.0,6.279
102407,260313,1.377213,43.520822,9000000.0,100.0,78.16399999999997
102407,102285,1.377213,43.520822,9000000.0,100.0,277.43399999999997
260313,102407,1.408535394,43.72004136,9000000.0,100.0,78.16399999999997
260313,102395,1.408535394,43.72004136,9000000.0,100.0,7.318
260313,102394,1.408535394,43.72004136,9000000.0,100.0,25.028
180316,110133,1.57564,45.306858,9000000.0,100.0,156.44400000000002
180316,100459,1.57564,45.306858,9000000.0,100.0,16.301000000000002
180316,102257,1.57564,45.306858,9000000.0,100.0,213.427
180316,102499,1.57564,45.306858,9000000.0,100.0,105.726
114338,122674,2.240721,48.975632,9000000.0,100.0,10.602
114338,114313,2.240721,48.975632,9000000.0,100.0,6.152
114338,113697,2.240721,48.975632,9000000.0,100.0,13.35
114313,114338,2.29921,48.938182,9000000.0,100.0,6.152
114313,101846,2.29921,48.938182,9000000.0,100.0,8.991
114313,108877,2.29921,48.938182,9000000.0,100.0,14.557999999999998
108769,109701,6.9579,49.20399999999999,9000000.0,100.0,13.182
109701,108769,6.810997108,49.140552,9000000.0,100.0,13.182
109701,109697,6.810997108,49.140552,9000000.0,100.0,20.307000000000002
109701,109711,6.810997108,49.140552,9000000.0,100.0,40.984
109744,108727,7.736175107999999,48.675008,9000000.0,100.0,47.97
109744,109751,7.736175107999999,48.675008,9000000.0,100.0,11.219999999999999
109744,109697,7.736175107999999,48.675008,9000000.0,100.0,81.001
107097,100569,7.546989,47.588968,9000000.0,100.0,24.506
109439,108921,2.675921677,47.989125,9000000.0,100.0,36.131
109439,108920,2.675921677,47.989125,9000000.0,100.0,27.318
109439,101986,2.675921677,47.989125,9000000.0,100.0,135.81900000000002
109439,109431,2.675921677,47.989125,9000000.0,100.0,68.716
102946,102999,5.553742,43.290021,9000000.0,100.0,4.449
102946,102945,5.553742,43.290021,9000000.0,100.0,12.946000000000002
102946,122573,5.553742,43.290021,9000000.0,100.0,2.112
102989,102952,5.909301999999999,43.126319,9000000.0,100.0,42.888999999999996
102886,102903,5.91976,44.21916,9000000.0,100.0,31.316000000000003
102886,122548,5.91976,44.21916,9000000.0,100.0,115.983
102886,102995,5.91976,44.21916,9000000.0,100.0,106.16000000000001
102585,102582,5.620784,45.297283,9000000.0,100.0,40.531
102585,102610,5.620784,45.297283,9000000.0,100.0,10.88
102585,102568,5.620784,45.297283,9000000.0,100.0,80.96000000000001
122495,102707,5.884862,45.605174,9000000.0,100.0,76.422
122495,102598,5.884862,45.605174,9000000.0,100.0,18.259999999999998
122495,102582,5.884862,45.605174,9000000.0,100.0,46.721999999999994
102645,102651,4.898994,45.726413,9000000.0,100.0,5.9879999999999995
102509,110124,5.027653,45.832223,9000000.0,100.0,39.525999999999996
102509,102535,5.027653,45.832223,9000000.0,100.0,8.587
102509,102611,5.027653,45.832223,9000000.0,100.0,22.268
102535,102509,4.925589,45.804909,9000000.0,100.0,8.587
102535,102642,4.925589,45.804909,9000000.0,100.0,4.2
102535,102518,4.925589,45.804909,9000000.0,100.0,24.927000000000003
102605,102651,4.798401999999999,45.58968,9000000.0,100.0,21.147
102605,102518,4.798401999999999,45.58968,9000000.0,100.0,43.299
102605,102624,4.798401999999999,45.58968,9000000.0,100.0,89.82900000000001
102605,102568,4.798401999999999,45.58968,9000000.0,100.0,80.826
102624,102605,4.113684451,45.81966921,9000000.0,100.0,89.82900000000001
102624,122697,4.113684451,45.81966921,9000000.0,100.0,4.708
102624,100417,4.113684451,45.81966921,9000000.0,100.0,75.18799999999999
109452,109472,-0.300991,49.169634,9000000.0,100.0,10.587
109452,109286,-0.300991,49.169634,9000000.0,100.0,42.083
109452,109449,-0.300991,49.169634,9000000.0,100.0,12.666
109449,109472,-0.428763,49.16476,9000000.0,100.0,2.967
109449,109452,-0.428763,49.16476,9000000.0,100.0,12.666
109449,113775,-0.428763,49.16476,9000000.0,100.0,45.175
102106,109910,0.307437,47.818876,9000000.0,100.0,27.312
102106,122863,0.307437,47.818876,9000000.0,100.0,58.50399999999999
102106,101912,0.307437,47.818876,9000000.0,100.0,53.01299999999999
260115,122755,0.6061296629999999,49.38232357,9000000.0,100.0,24.704
260115,109311,0.6061296629999999,49.38232357,9000000.0,100.0,30.564
260115,108281,0.6061296629999999,49.38232357,9000000.0,100.0,16.877
113757,109298,1.040219,49.342249,9000000.0,100.0,15.992
113757,109326,1.040219,49.342249,9000000.0,100.0,17.219
113757,108281,1.040219,49.342249,9000000.0,100.0,15.485
