origin,destination,Traffic_flow_trucks_2010,Traffic_flow_trucks_2019,Traffic_flow_trucks_2030,Traffic_flow_tons_2010,Traffic_flow_tons_2019,Traffic_flow_tons_2030
106882,111555,2838.75,2750.0,2646.25,38607.0,37400.0,35989.0
106882,111603,1476.25,1430.0,1376.25,20077.0,19448.0,18717.0
106882,111621,260.0,333.75,488.75,3536.0,4539.0,6647.0
106882,111657,3696.25,3582.5,3446.25,50269.0,48722.0,46869.0
106882,111699,671.25,673.75,688.75,9129.0,9163.0,9367.0
106882,181083,3092.5,2996.25,2882.5,42058.0,40749.0,39202.0
106882,181085,951.25,921.25,886.25,12937.0,12529.0,12053.0
106882,195913,1411.25,1390.0,1376.25,19193.0,18904.0,18717.0
106882,195938,1205.0,1247.5,1313.75,16388.0,16966.0,17867.0
106886,106892,5220.0,5057.5,4866.25,70992.0,68782.0,66181.0
106886,106899,4118.75,4595.0,5261.25,56015.0,62492.0,71553.0
106886,106932,3288.75,3673.75,4207.5,44727.0,49963.0,57222.0
106886,106968,3001.25,3340.0,3823.75,40817.0,45424.0,52003.0
106886,106987,9992.5,9681.25,9316.25,135898.0,131665.0,126701.0
106886,106997,3925.0,3801.25,3658.75,53380.0,51697.0,49759.0
106886,110970,6246.25,6052.5,5823.75,84949.0,82314.0,79203.0
106886,111052,5733.75,5556.25,5346.25,77979.0,75565.0,72709.0
106886,111059,653.75,730.0,835.0,8891.0,9928.0,11356.0
106886,111069,2001.25,1938.75,1866.25,27217.0,26367.0,25381.0
106886,111077,2482.5,2405.0,2315.0,33762.0,32708.0,31484.0
106886,111084,3612.5,3500.0,3367.5,49130.0,47600.0,45798.0
106886,111186,1108.75,1073.75,1033.75,15079.0,14603.0,14059.0
106886,111208,2808.75,2721.25,2618.75,38199.0,37009.0,35615.0
106886,111217,371.25,413.75,473.75,5049.0,5627.0,6443.0
106886,111241,1896.25,1837.5,1767.5,25789.0,24990.0,24038.0
106886,111283,10147.5,9833.75,9461.25,138006.0,133739.0,128673.0
106886,111322,1411.25,1367.5,1316.25,19193.0,18598.0,17901.0
106886,111359,4167.5,4038.75,3888.75,56678.0,54927.0,52887.0
106886,111366,4827.5,4677.5,4500.0,65654.0,63614.0,61200.0
106886,111428,6768.75,6558.75,6311.25,92055.0,89199.0,85833.0
106886,111465,1927.5,1867.5,1797.5,26214.0,25398.0,24446.0
106886,111621,1380.0,1541.25,1761.25,18768.0,20961.0,23953.0
106886,111699,3905.0,4153.75,4496.25,53108.0,56491.0,61149.0
106886,181085,1582.5,1533.75,1475.0,21522.0,20859.0,20060.0
106886,195913,887.5,992.5,1135.0,12070.0,13498.0,15436.0
106886,195938,2716.25,3028.75,3465.0,36941.0,41191.0,47124.0
106892,106899,9676.25,11003.75,12941.25,131597.0,149651.0,176001.0
106892,106932,14441.25,20053.75,30635.0,196401.0,272731.0,416636.0
106892,106940,27325.0,26477.5,25477.5,371620.0,360094.0,346494.0
106892,106968,13176.25,15685.0,19680.0,179197.0,213316.0,267648.0
106892,106977,3237.5,3136.25,3017.5,44030.0,42653.0,41038.0
106892,110970,33116.25,32087.5,30875.0,450381.0,436390.0,419900.0
106892,111036,8138.75,7886.25,7588.75,110687.0,107253.0,103207.0
106892,111059,8158.75,9423.75,11243.75,110959.0,128163.0,152915.0
106892,111164,23652.5,22920.0,22053.75,321674.0,311712.0,299931.0
106892,111186,1907.5,2535.0,3695.0,25942.0,34476.0,50252.0
106892,111217,10448.75,10818.75,11378.75,142103.0,147135.0,154751.0
106892,111243,12518.75,12131.25,11671.25,170255.0,164985.0,158729.0
106892,111322,6871.25,6658.75,6406.25,93449.0,90559.0,87125.0
106892,111349,9057.5,8776.25,8445.0,123182.0,119357.0,114852.0
106892,111359,7487.5,7255.0,6981.25,101830.0,98668.0,94945.0
106892,111442,70586.25,68397.5,65807.5,959973.0,930206.0,894982.0
106892,111471,6953.75,6736.25,6482.5,94571.0,91613.0,88162.0
106892,111496,31540.0,30561.25,29405.0,428944.0,415633.0,399908.0
106892,111529,32518.75,31507.5,30318.75,442255.0,428502.0,412335.0
106892,111555,14793.75,14335.0,13793.75,201195.0,194956.0,187595.0
106892,111603,8686.25,8417.5,8100.0,118133.0,114478.0,110160.0
106892,111621,46297.5,56882.5,78073.75,629646.0,773602.0,1061803.0
106892,111657,15578.75,15093.75,14522.5,211871.0,205275.0,197506.0
106892,111699,8011.25,9283.75,11542.5,108953.0,126259.0,156978.0
106892,181083,29800.0,28922.5,27967.5,405280.0,393346.0,380358.0
106892,181085,17522.5,16977.5,16336.25,238306.0,230894.0,222173.0
106892,195727,6040.0,5852.5,5631.25,82144.0,79594.0,76585.0
106892,195913,17097.5,18767.5,21617.5,232526.0,255238.0,293998.0
106892,195938,45226.25,50505.0,58567.5,615077.0,686868.0,796518.0
106899,106932,1180968.75,1528578.75,2164716.25,16061175.0,20788671.0,29440141.0
106899,106940,51651.25,57643.75,65936.25,702457.0,783955.0,896733.0
106899,106987,8253.75,9623.75,11753.75,112251.0,130883.0,159851.0
106899,106997,31133.75,35748.75,42733.75,423419.0,486183.0,581179.0
106899,110970,62773.75,71432.5,84138.75,853723.0,971482.0,1144287.0
106899,111052,24122.5,28221.25,34653.75,328066.0,383809.0,471291.0
106899,111069,14011.25,16461.25,20336.25,190553.0,223873.0,276573.0
106899,111077,45781.25,53621.25,66076.25,622625.0,729249.0,898637.0
106899,111084,47953.75,55743.75,67900.0,652171.0,758115.0,923440.0
106899,111164,111527.5,124470.0,142382.5,1516774.0,1692792.0,1936402.0
106899,111186,23881.25,27692.5,33621.25,324785.0,376618.0,457249.0
106899,111208,40555.0,47625.0,58986.25,551548.0,647700.0,802213.0
106899,111217,122788.75,138263.75,161563.75,1669927.0,1880387.0,2197267.0
106899,111241,2667.5,3082.5,3711.25,36278.0,41922.0,50473.0
106899,111283,19771.25,22935.0,27731.25,268889.0,311916.0,377145.0
106899,111322,12421.25,14238.75,16906.25,168929.0,193647.0,229925.0
106899,111349,17961.25,20053.75,22933.75,244273.0,272731.0,311899.0
